prioridad,fecha,dia,hora,score,fecha_str,hora_str
baja,2025-10-30 16:00:00,Jue,16,0.9255066137566136,2025-10-30,16:00
baja,2025-10-30 17:00:00,Jue,17,0.9241944444444444,2025-10-30,17:00
