prioridad,fecha,dia,hora,score,fecha_str,hora_str,iniciales
alta,2025-10-20 10:00:00,Lun,10,0.9350768398268396,2025-10-20,10:00,VT
alta,2025-10-20 11:00:00,Lun,11,0.8997990620490621,2025-10-20,11:00,RB
alta,2025-10-20 13:00:00,Lun,13,0.9088982683982685,2025-10-20,13:00,FD
alta,2025-10-22 10:00:00,Mié,10,0.9112449309949309,2025-10-22,10:00,VT
alta,2025-10-23 16:00:00,Jue,16,0.9006349206349207,2025-10-23,16:00,SG
alta,2025-10-23 17:00:00,Jue,17,0.903170634920635,2025-10-23,17:00,AL
alta,2025-10-23 18:00:00,Jue,18,0.9223214285714287,2025-10-23,18:00,TM
alta,2025-10-23 19:00:00,Jue,19,0.9177698412698415,2025-10-23,19:00,FD
alta,2025-10-24 15:00:00,Vie,15,0.9175592185592188,2025-10-24,15:00,NL
alta,2025-10-24 16:00:00,Vie,16,0.9404401709401712,2025-10-24,16:00,CP
alta,2025-10-27 10:00:00,Lun,10,0.9350768398268396,2025-10-27,10:00,CP
alta,2025-10-27 11:00:00,Lun,11,0.8997990620490621,2025-10-27,11:00,JS
alta,2025-10-27 13:00:00,Lun,13,0.9088982683982685,2025-10-27,13:00,TM
alta,2025-10-29 10:00:00,Mié,10,0.9112449309949309,2025-10-29,10:00,RB
alta,2025-10-30 16:00:00,Jue,16,0.9006349206349207,2025-10-30,16:00,CP
alta,2025-10-30 17:00:00,Jue,17,0.903170634920635,2025-10-30,17:00,FD
alta,2025-10-30 18:00:00,Jue,18,0.9223214285714287,2025-10-30,18:00,AL
alta,2025-10-30 19:00:00,Jue,19,0.9177698412698413,2025-10-30,19:00,NL
alta,2025-10-31 15:00:00,Vie,15,0.9175592185592184,2025-10-31,15:00,JS
alta,2025-10-31 16:00:00,Vie,16,0.940440170940171,2025-10-31,16:00,VT
